,title,price,link
0,"Dell Inspiron 3530 Thin &
                                        Light Laptop, 13th Gen Intel Core i3-1305U/8GB/512GB SSD/15.6"" (39.62cm) 120Hz
                                        Refresh Rate on a FHD IPS Display/Windows 11 + MSO'21+McAfee 15 Month/Carbon
                                        Black/1.62kg  ","40,510",https://amazon.in//sspa/click?ie=UTF8&spc=MToyMDY5MDU4OTAyNjAwODc0OjE3MjQ3NzA1NDE6c3BfYXRmOjMwMDE2NzM5MTEyMjQzMjo6MDo6&url=%2FDell-Inspiron-3530-i3-1305U-Comfortview%2Fdp%2FB0C4ZM63RP%2Fref%3Dsr_1_2_sspa%3Fcrid%3DAF3XJAA5C7OS%26dib%3DeyJ2IjoiMSJ9.vEZLua-h53s4udXVaSr0TBlkZXf4JpKArY0V4NO25nXjZq0m0pBV0VbT-8aiM5to6Zb9cOJn4FALYqhred9TbJywiLLeicS6xAuZFR11Fcttnuc2aHobiB_npPFpq-3gq5xNgYWFiWBa1iGAA_ZwDRGf7XRNvvKElyzqOlQ4ryp0zobSGK_T0TqDmL_aTLLYboIrB2tc3o36j8kDeQziEOVpQdV2VLukE26tN7Pmu3M.bLohFjOIvJDARsMofkzfTPtj4sM4AghlVCdILQUajJo%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1724770541%26sprefix%3Dlap%252Caps%252C295%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
1,"(Refurbished) Lenovo ThinkPad 6th Gen Intel Core i5 Thin & Light HD Laptop (16GB RAM / 512GB SSD /14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel Graphics), Black  ","17,499",https://amazon.in//Refurbished-Lenovo-ThinkPad-Windows-Graphics/dp/B0CR496TBN/ref=sr_1_3?crid=AF3XJAA5C7OS&dib=eyJ2IjoiMSJ9.vEZLua-h53s4udXVaSr0TBlkZXf4JpKArY0V4NO25nXjZq0m0pBV0VbT-8aiM5to6Zb9cOJn4FALYqhred9TbJywiLLeicS6xAuZFR11Fcttnuc2aHobiB_npPFpq-3gq5xNgYWFiWBa1iGAA_ZwDRGf7XRNvvKElyzqOlQ4ryp0zobSGK_T0TqDmL_aTLLYboIrB2tc3o36j8kDeQziEOVpQdV2VLukE26tN7Pmu3M.bLohFjOIvJDARsMofkzfTPtj4sM4AghlVCdILQUajJo&dib_tag=se&keywords=laptop&qid=1724770541&sprefix=lap%2Caps%2C295&sr=8-3
2,"Lenovo S14 Intel Core I5 12th Gen 14"" (35.56 cm) FHD IPS (1920x1080) Antiglare 300Nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Pro/Backlit/Cloud Grey/1.5 kg/3Y Premium Care), 82TW001DIH  ","48,490",https://amazon.in//sspa/click?ie=UTF8&spc=MToyMDY5MDU4OTAyNjAwODc0OjE3MjQ3NzA1NDE6c3BfbXRmOjMwMDA2NzY2MzM1ODgzMjo6MDo6&url=%2FLenovo-1920x1080-Antiglare-300Nits-82TW001DIH%2Fdp%2FB0CH8D6F4N%2Fref%3Dsr_1_12_sspa%3Fcrid%3DAF3XJAA5C7OS%26dib%3DeyJ2IjoiMSJ9.vEZLua-h53s4udXVaSr0TBlkZXf4JpKArY0V4NO25nXjZq0m0pBV0VbT-8aiM5to6Zb9cOJn4FALYqhred9TbJywiLLeicS6xAuZFR11Fcttnuc2aHobiB_npPFpq-3gq5xNgYWFiWBa1iGAA_ZwDRGf7XRNvvKElyzqOlQ4ryp0zobSGK_T0TqDmL_aTLLYboIrB2tc3o36j8kDeQziEOVpQdV2VLukE26tN7Pmu3M.bLohFjOIvJDARsMofkzfTPtj4sM4AghlVCdILQUajJo%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1724770541%26sprefix%3Dlap%252Caps%252C295%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
3,"HP Laptop 15, 12th Gen i3-1215U, 15.6-inch (39.6 cm), FHD, Anti-Glare, 8GB DDR4, 512GB SSD, Intel UHD Graphics, Dual Speakers, (Win 11, MSO 2021, Silver, 1.69 kg), 15s-fy5006TU  ","35,999",https://amazon.in//HP-i3-1215U-15-6-inch-Anti-Glare-15s-fy5006TU/dp/B0CJBL2QWY/ref=sr_1_80?crid=AF3XJAA5C7OS&dib=eyJ2IjoiMSJ9.ZvK9mqyIucZtr6Ntgp6k2Go3W3n0U92u2lNpUEbld00mscF-KFTIocGhFXZjk3dEpmG4HS4VRARGBN5kioy2LYSkwxWQTt8JRUKsVoi_JIS961RdcZONAHnv79_uW6-hl7RHzxhi_knmDJlRFwp0-gN5YKClc4YNUjeaGLI5K73yy2FY8ZQ2UVhUdMdM7VoqvkaMRibxQC_gBKv1ft-F4jlrrbA9cyiPQSALxcn4TX4.zLCrpm45_VWydK7kd130eSm0-qGYKP49N3u42RWwlAU&dib_tag=se&keywords=laptop&qid=1724770573&sprefix=lap%2Caps%2C295&sr=8-80
4,"ASUS Vivobook 16 (2023)Thin & Light Laptop,Intel Core i9-13900H 13th Gen, 16"" (40.64 cm) FHD+(16GB RAM/512GB SSD/Intel Iris Xe/Win 11/Office 2021/Backlit KB/Fingerprint/Black/1.88 kg) X1605VA-MB947WS  ","94,990",https://amazon.in//ASUS-Vivobook-i9-13900H-Fingerprint-X1605VA-MB947WS/dp/B0CHMZRC89/ref=sr_1_81?crid=AF3XJAA5C7OS&dib=eyJ2IjoiMSJ9.ZvK9mqyIucZtr6Ntgp6k2Go3W3n0U92u2lNpUEbld00mscF-KFTIocGhFXZjk3dEpmG4HS4VRARGBN5kioy2LYSkwxWQTt8JRUKsVoi_JIS961RdcZONAHnv79_uW6-hl7RHzxhi_knmDJlRFwp0-gN5YKClc4YNUjeaGLI5K73yy2FY8ZQ2UVhUdMdM7VoqvkaMRibxQC_gBKv1ft-F4jlrrbA9cyiPQSALxcn4TX4.zLCrpm45_VWydK7kd130eSm0-qGYKP49N3u42RWwlAU&dib_tag=se&keywords=laptop&qid=1724770573&sprefix=lap%2Caps%2C295&sr=8-81
5,"(Refurbished) Lenovo ThinkPad 7th Gen Intel Core i5 Thin & Light HD Laptop (8 GB DDR4 RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel Graphics)  ","15,329",https://amazon.in//Refurbished-Lenovo-ThinkPad-Windows-Graphics/dp/B0CR4BZMQG/ref=sr_1_83?crid=AF3XJAA5C7OS&dib=eyJ2IjoiMSJ9.ZvK9mqyIucZtr6Ntgp6k2Go3W3n0U92u2lNpUEbld00mscF-KFTIocGhFXZjk3dEpmG4HS4VRARGBN5kioy2LYSkwxWQTt8JRUKsVoi_JIS961RdcZONAHnv79_uW6-hl7RHzxhi_knmDJlRFwp0-gN5YKClc4YNUjeaGLI5K73yy2FY8ZQ2UVhUdMdM7VoqvkaMRibxQC_gBKv1ft-F4jlrrbA9cyiPQSALxcn4TX4.zLCrpm45_VWydK7kd130eSm0-qGYKP49N3u42RWwlAU&dib_tag=se&keywords=laptop&qid=1724770573&sprefix=lap%2Caps%2C295&sr=8-83
6,"HP Laptop 15s, 12th Gen Intel Core i3, 15.6-inch (39.6 cm), 8GB DDR4, 512GB SSD, Thin & Light, Dual Speakers (Win 11, MSO 2021, Silver, 1.69 kg), fq5007TU / FQ5327TU  ","36,990",https://amazon.in//HP-i3-1215U-15-6-inch-Graphics-Speakers/dp/B0BP2M7CCS/ref=sr_1_84?crid=AF3XJAA5C7OS&dib=eyJ2IjoiMSJ9.ZvK9mqyIucZtr6Ntgp6k2Go3W3n0U92u2lNpUEbld00mscF-KFTIocGhFXZjk3dEpmG4HS4VRARGBN5kioy2LYSkwxWQTt8JRUKsVoi_JIS961RdcZONAHnv79_uW6-hl7RHzxhi_knmDJlRFwp0-gN5YKClc4YNUjeaGLI5K73yy2FY8ZQ2UVhUdMdM7VoqvkaMRibxQC_gBKv1ft-F4jlrrbA9cyiPQSALxcn4TX4.zLCrpm45_VWydK7kd130eSm0-qGYKP49N3u42RWwlAU&dib_tag=se&keywords=laptop&qid=1724770573&sprefix=lap%2Caps%2C295&sr=8-84
7,"MSI Thin 15, Intel 13th Gen. Core i5-13420H, 40CM FHD 144Hz Gaming Laptop(16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 3050,GDDR6 4GB/Cosmos Gray/1.86Kg), B13UC-1805IN  ","67,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToxNTY0MjM3NzgxNDExODUzOjE3MjQ3NzA1NzM6c3BfYnRmOjMwMDI0NjA4OTY2MDczMjo6MDo6&url=%2FMSI-i5-13420H-Windows-GeForce-B13UC-1805IN%2Fdp%2FB0CV9J1QSM%2Fref%3Dsr_1_85_sspa%3Fcrid%3DAF3XJAA5C7OS%26dib%3DeyJ2IjoiMSJ9.ZvK9mqyIucZtr6Ntgp6k2Go3W3n0U92u2lNpUEbld00mscF-KFTIocGhFXZjk3dEpmG4HS4VRARGBN5kioy2LYSkwxWQTt8JRUKsVoi_JIS961RdcZONAHnv79_uW6-hl7RHzxhi_knmDJlRFwp0-gN5YKClc4YNUjeaGLI5K73yy2FY8ZQ2UVhUdMdM7VoqvkaMRibxQC_gBKv1ft-F4jlrrbA9cyiPQSALxcn4TX4.zLCrpm45_VWydK7kd130eSm0-qGYKP49N3u42RWwlAU%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1724770573%26sprefix%3Dlap%252Caps%252C295%26sr%3D8-85-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
8,"Lenovo LOQ 2024 Intel Core i5-12450HX 15.6"" (39.6cm) 144Hz 300Nits FHD IPS Gaming Laptop (24GB/512GB SSD/Win 11/NVIDIA RTX 3050 6GB Graphics/1Yr ADP Free/MSO 21/3 Mon Game Pass/Grey/2.4Kg), 83GS0098IN  ","72,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToxNTY0MjM3NzgxNDExODUzOjE3MjQ3NzA1NzM6c3BfYnRmOjMwMDI4MjgwNTg2MTczMjo6MDo6&url=%2FLenovo-i5-12450HX-300Nits-Graphics-83GS0098IN%2Fdp%2FB0DB218DK7%2Fref%3Dsr_1_86_sspa%3Fcrid%3DAF3XJAA5C7OS%26dib%3DeyJ2IjoiMSJ9.ZvK9mqyIucZtr6Ntgp6k2Go3W3n0U92u2lNpUEbld00mscF-KFTIocGhFXZjk3dEpmG4HS4VRARGBN5kioy2LYSkwxWQTt8JRUKsVoi_JIS961RdcZONAHnv79_uW6-hl7RHzxhi_knmDJlRFwp0-gN5YKClc4YNUjeaGLI5K73yy2FY8ZQ2UVhUdMdM7VoqvkaMRibxQC_gBKv1ft-F4jlrrbA9cyiPQSALxcn4TX4.zLCrpm45_VWydK7kd130eSm0-qGYKP49N3u42RWwlAU%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1724770573%26sprefix%3Dlap%252Caps%252C295%26sr%3D8-86-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
9,"Lenovo IdeaPad Slim 3 12th Gen Intel Core i5-12450H 14"" (35.5cm) FHD 250 Nits Thin & Light Laptop (16GB/512GB SSD/Win 11/Office 21/1Yr ADP Free/Alexa built-in/3 mon. Game Pass/Grey/1.37Kg), 83EQ005VIN  ","52,028",https://amazon.in//sspa/click?ie=UTF8&spc=MTo5OTEwNDczMjAyNzY5OjE3MjQ3NzA1ODA6c3BfYXRmX25leHQ6MzAwMjMyMTc3ODkyMTMyOjowOjo&url=%2FLenovo-IdeaPad-i5-12450H-35-5cm-83EQ005VIN%2Fdp%2FB0D6MPVN7B%2Fref%3Dsr_1_81_sspa%3Fcrid%3DAF3XJAA5C7OS%26dib%3DeyJ2IjoiMSJ9.j4_wX7CcA156nfutDa-f7Me4W4a9R_2S55exD9-r91CGcEoQk-1Uiv8z9Pxosrioy6rl7ovG00a_ph6tHmEIm6AvejS1XfrksO1hdmYSlvLXXrkn6WIKSC-OIERoEbgaCLe8erSYphWyTE5QvmdETk_YPk8vMw82QjGwdpcYQW_-a_AFPzxec5-W67cHE8Z2JdLE3ZqbRi8y9oHkpJb95ej7QSRD_oknK9AUt7iFApg.QuZl4vWkoqwYrpBk2Wp9H7qSg2lJBjPnIPU1GmEUXME%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1724770580%26sprefix%3Dlap%252Caps%252C295%26sr%3D8-81-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
10,"Lenovo [Smartchoice] LOQ 12th Gen Intel Core i5-12450HX /39.6cm/ 144Hz 300Nits FHD Gaming Laptop (16GB/512GB SSD/Win 11/ RTX 3050 6GB Graphics/100% sRGB/MSO 21/3 Mon Game Pass/Grey/2.4Kg), 83GS003UIN  ","70,490",https://amazon.in//sspa/click?ie=UTF8&spc=MTo5OTEwNDczMjAyNzY5OjE3MjQ3NzA1ODA6c3BfYXRmX25leHQ6MzAwMTY3MDg5NDU5MzMyOjowOjo&url=%2FLenovo-Smartchoice-i5-12450HX-Graphics-83GS003UIN%2Fdp%2FB0CX8XPKWJ%2Fref%3Dsr_1_82_sspa%3Fcrid%3DAF3XJAA5C7OS%26dib%3DeyJ2IjoiMSJ9.j4_wX7CcA156nfutDa-f7Me4W4a9R_2S55exD9-r91CGcEoQk-1Uiv8z9Pxosrioy6rl7ovG00a_ph6tHmEIm6AvejS1XfrksO1hdmYSlvLXXrkn6WIKSC-OIERoEbgaCLe8erSYphWyTE5QvmdETk_YPk8vMw82QjGwdpcYQW_-a_AFPzxec5-W67cHE8Z2JdLE3ZqbRi8y9oHkpJb95ej7QSRD_oknK9AUt7iFApg.QuZl4vWkoqwYrpBk2Wp9H7qSg2lJBjPnIPU1GmEUXME%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1724770580%26sprefix%3Dlap%252Caps%252C295%26sr%3D8-82-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
11,"HONOR MagicBook X14 Pro 2024, 13th Gen Intel Core i5-13420H (16GB/512GB NVMe SSD, 14-inch (35.56 cm) FHD IPS Anti-Glare Thin and Light Laptop/Windows 11/Backlit Keyboard/Fingerprint/1.4Kg), Gray  ","51,990",https://amazon.in//MagicBook-i5-13420H-Anti-Glare-Keyboard-Fingerprint/dp/B0CXLN6D7W/ref=sr_1_83?crid=AF3XJAA5C7OS&dib=eyJ2IjoiMSJ9.j4_wX7CcA156nfutDa-f7Me4W4a9R_2S55exD9-r91CGcEoQk-1Uiv8z9Pxosrioy6rl7ovG00a_ph6tHmEIm6AvejS1XfrksO1hdmYSlvLXXrkn6WIKSC-OIERoEbgaCLe8erSYphWyTE5QvmdETk_YPk8vMw82QjGwdpcYQW_-a_AFPzxec5-W67cHE8Z2JdLE3ZqbRi8y9oHkpJb95ej7QSRD_oknK9AUt7iFApg.QuZl4vWkoqwYrpBk2Wp9H7qSg2lJBjPnIPU1GmEUXME&dib_tag=se&keywords=laptop&qid=1724770580&sprefix=lap%2Caps%2C295&sr=8-83
12,"Chuwi HeroBook Pro 14.1'' Intel Celeron N4020 Laptop with 8GB RAM, 256GB SSD, Windows 11, 1TB Expand, FHD IPS, Ultra Slim, USB3.0, Mini-HDMI, Webcam  ","16,990",https://amazon.in//Chuwi-HeroBook-Pro-Celeron-Mini-HDMI/dp/B0D9RXH8X5/ref=sr_1_13?crid=AF3XJAA5C7OS&dib=eyJ2IjoiMSJ9.vEZLua-h53s4udXVaSr0TBlkZXf4JpKArY0V4NO25nXjZq0m0pBV0VbT-8aiM5to6Zb9cOJn4FALYqhred9TbJywiLLeicS6xAuZFR11Fcttnuc2aHobiB_npPFpq-3gq5xNgYWFiWBa1iGAA_ZwDRGf7XRNvvKElyzqOlQ4ryp0zobSGK_T0TqDmL_aTLLYboIrB2tc3o36j8kDeQziEOVpQdV2VLukE26tN7Pmu3M.bLohFjOIvJDARsMofkzfTPtj4sM4AghlVCdILQUajJo&dib_tag=se&keywords=laptop&qid=1724770541&sprefix=lap%2Caps%2C295&sr=8-13
13,"[Smart Choice] Lenovo IdeaPad Gaming 3 Laptop AMD Ryzen 5 5500H 15.6"" (39.62cm) FHD IPS 300nits 144Hz (8GB/512GB SSD/Win 11/NVIDIA RTX 2050 4GB/Alexa/3 Month Game Pass/Shadow Black/2.32Kg), 82K20289IN  ","47,990",https://amazon.in//Lenovo-IdeaPad-39-62cm-300nits-82K20289IN/dp/B0CL5L59Z9/ref=sr_1_84?crid=AF3XJAA5C7OS&dib=eyJ2IjoiMSJ9.j4_wX7CcA156nfutDa-f7Me4W4a9R_2S55exD9-r91CGcEoQk-1Uiv8z9Pxosrioy6rl7ovG00a_ph6tHmEIm6AvejS1XfrksO1hdmYSlvLXXrkn6WIKSC-OIERoEbgaCLe8erSYphWyTE5QvmdETk_YPk8vMw82QjGwdpcYQW_-a_AFPzxec5-W67cHE8Z2JdLE3ZqbRi8y9oHkpJb95ej7QSRD_oknK9AUt7iFApg.QuZl4vWkoqwYrpBk2Wp9H7qSg2lJBjPnIPU1GmEUXME&dib_tag=se&keywords=laptop&qid=1724770580&sprefix=lap%2Caps%2C295&sr=8-84
14,"ASUS Vivobook 16 (2023), Intel Core i9-13900H 13th Gen, 16"" (40.64 cm) FHD+, Thin & Light Laptop (16GB/1TB SSD/Intel Iris Xe/Win 11/Office 2021/Backlit KB/Fingerprint/Black/1.88 kg), X1605VA-MB957WS  ","99,990",https://amazon.in//ASUS-Vivobook-i9-13900H-Fingerprint-X1605VA-MB957WS/dp/B0CHMXTF6S/ref=sr_1_85?crid=AF3XJAA5C7OS&dib=eyJ2IjoiMSJ9.j4_wX7CcA156nfutDa-f7Me4W4a9R_2S55exD9-r91CGcEoQk-1Uiv8z9Pxosrioy6rl7ovG00a_ph6tHmEIm6AvejS1XfrksO1hdmYSlvLXXrkn6WIKSC-OIERoEbgaCLe8erSYphWyTE5QvmdETk_YPk8vMw82QjGwdpcYQW_-a_AFPzxec5-W67cHE8Z2JdLE3ZqbRi8y9oHkpJb95ej7QSRD_oknK9AUt7iFApg.QuZl4vWkoqwYrpBk2Wp9H7qSg2lJBjPnIPU1GmEUXME&dib_tag=se&keywords=laptop&qid=1724770580&sprefix=lap%2Caps%2C295&sr=8-85
15,"HP 255 G9 (840T7PA) Notebook (AMD Athlon Silver-3050U/ 4GB RAM/ 256GB SSD/DOS/ 15.6"" Screen/ 1 Year Warranty), Black  ","19,400",https://amazon.in//HP-255-G9-Notebook-Silver-3050U/dp/B0C8VF4DL5/ref=sr_1_86?crid=AF3XJAA5C7OS&dib=eyJ2IjoiMSJ9.j4_wX7CcA156nfutDa-f7Me4W4a9R_2S55exD9-r91CGcEoQk-1Uiv8z9Pxosrioy6rl7ovG00a_ph6tHmEIm6AvejS1XfrksO1hdmYSlvLXXrkn6WIKSC-OIERoEbgaCLe8erSYphWyTE5QvmdETk_YPk8vMw82QjGwdpcYQW_-a_AFPzxec5-W67cHE8Z2JdLE3ZqbRi8y9oHkpJb95ej7QSRD_oknK9AUt7iFApg.QuZl4vWkoqwYrpBk2Wp9H7qSg2lJBjPnIPU1GmEUXME&dib_tag=se&keywords=laptop&qid=1724770580&sprefix=lap%2Caps%2C295&sr=8-86
